KEY,TIMESTAMP,time_to_exp,open_bet,close_bet,avg_price_up,high_bet,low_bet,total_volume,trade_count,stock_open_day,stock_close,stock_avg_period,stock_vol,poly_vol_imbalance,bs_neutral_prob,true_sentiment,next_stock_move,curr_stock_move,next_true_sent,abs_sentiment
GOOGL,2026-04-09 18:00:00,1.9308333333333323,0.83,0.8,0.8166666666666668,0.83,0.8,520.0,6,318.489990234375,319.1400146484375,318.6666768391927,0.08393573210421634,0.0,0.9142281271438606,-0.09756146047719383,-0.0014424823528262454,6.770437975324789e-05,0.22913961662890514,0.09756146047719383
GOOGL,2026-04-09 18:05:00,1.8841666666666654,0.78,0.76,0.7742857142857142,0.78,0.76,61.239700000000006,7,318.489990234375,318.67999267578125,318.538330078125,0.09411186487453509,-0.024525806451612953,0.6427075581340029,0.1315781561517113,0.0,-0.0014424823528262454,-0.026143582997085968,0.1315781561517113
GOOGL,2026-04-09 18:10:00,1.7575000000000003,0.74,0.74,0.7528444444444444,0.78,0.74,258.8485,9,318.489990234375,318.67999267578125,318.43039957682294,0.09407554616245854,0.572893266803173,0.6474098712898191,0.10543457315462534,-9.413892316721502e-05,0.0,-0.034354541149106854,0.10543457315462534
GOOGL,2026-04-09 18:20:00,1.5913888888888863,0.74,0.68,0.71,0.74,0.68,22.5,4,318.489990234375,318.6499938964844,318.27332560221356,0.08872425027284224,0.0,0.6389199679944815,0.07108003200551849,-0.0004397835063940619,-9.413892316721502e-05,0.14792694696472164,0.07108003200551849
GOOGL,2026-04-09 18:35:00,1.3791666666666664,0.74,0.74,0.74,0.74,0.74,2.7028,2,318.489990234375,318.5098876953125,318.35329182942706,0.08892103133503076,0.0,0.5209930210297599,0.21900697897024013,-0.00015666750334565255,-0.0004397835063940619,0.07396185921851828,0.21900697897024013
GOOGL,2026-04-09 18:50:00,1.1341666666666654,0.76,0.77,0.7633333333333333,0.77,0.76,142.9774,6,318.489990234375,318.4599914550781,318.3399963378906,0.08582228313347955,0.0,0.4703644951445749,0.2929688381887584,0.0012552374429198965,-0.00015666750334565255,-0.3281063286410201,0.2929688381887584
GOOGL,2026-04-09 19:00:00,0.9669444444444437,0.8,0.85,0.8106666666666666,0.85,0.8,415.3125,15,318.489990234375,318.8599853515625,318.6533203125,0.09059200582060546,-0.1576875304972719,0.8458041571189283,-0.035137490452261666,0.0002587620242127073,0.0012552374429198965,0.026182729879171363,0.035137490452261666
GOOGL,2026-04-09 19:10:00,0.7930555555555543,0.91,0.91,0.9186555555555557,0.94,0.91,184.74360000000001,9,318.489990234375,318.9425048828125,318.8424987792969,0.08531294442340141,0.0,0.927610316128646,-0.008954760573090303,-0.00019597928653539002,0.0002587620242127073,-0.0685536021359473,0.008954760573090303
GOOGL,2026-04-09 19:15:00,0.7052777777777806,0.91,0.82,0.8542857142857142,0.91,0.82,213.9534,7,318.489990234375,318.8800048828125,318.617431640625,0.07636576460400941,-0.1313836100623328,0.9317940769947518,-0.0775083627090376,-0.00043917898359582006,-0.00019597928653539002,0.15930990939584466,0.0775083627090376
GOOGL,2026-04-09 19:20:00,0.5986111111111114,0.93,0.93,0.93,0.93,0.93,200.0,2,318.489990234375,318.739990234375,318.59665934244794,0.07702414452385073,0.0,0.848198453313193,0.08180154668680706,-0.0001411372466313367,-0.00043917898359582006,-0.012832037761625004,0.08180154668680706
